IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
172.20.0.2,,80,tcp,7.5,High,30,"VendorFix","Apache HTTP Server 2.4.20 < 2.4.44 Multiple Vulnerabilities - Linux","Apache HTTP Server is prone to multiple vulnerabilities.","Installed version: 2.4.25
Fixed version:     2.4.44
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.144372,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,52f8fff7-71e0-40a1-aafb-b4995d4baa57,"","Update to version 2.4.44 or later.","Apache HTTP Server version 2.4.2 to 2.4.43.","The following vulnerabilities exist:

  - Push Diary Crash on Specifically Crafted HTTP/2 Header (CVE-2020-9490)

  - Push Diary Crash on Specifically Crafted HTTP/2 Header (CVE-2020-11993)","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server 2.4.20 < 2.4.44 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.144372)
Version used: 2024-02-15T05:05:40Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2022-0074,DFN-CERT-2021-1069,DFN-CERT-2020-2628,DFN-CERT-2020-2345,DFN-CERT-2020-2338,DFN-CERT-2020-1985,DFN-CERT-2020-1905,DFN-CERT-2020-1793,DFN-CERT-2020-1744,WID-SEC-2024-3319,WID-SEC-2024-1591,WID-SEC-2023-1048,WID-SEC-2023-0063,CB-K21/0341,CB-K21/0068,CB-K20/0798",""
172.20.0.2,,80,tcp,5.3,Medium,30,"VendorFix","Apache HTTP Server 2.4.6 - 2.4.46 Tunneling Misconfiguration Vulnerability - Linux","Apache HTTP Server is prone to a tunneling misconfiguration
  vulnerability.","Installed version: 2.4.25
Fixed version:     2.4.48
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.112898,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,a437c22c-cc3a-4e76-9236-363393f991fd,"","Update to version 2.4.48 or later.","Apache HTTP Server versions 2.4.6 to 2.4.46 on Linux.","mod_proxy_wstunnel configured on an URL that is not necessarily
  upgraded by the origin server was tunneling the whole connection regardless, thus allowing for
  subsequent requests on the same connection to pass through with no HTTP validation,
  authentication or authorization possibly configured.","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server 2.4.6 - 2.4.46 Tunneling Misconfiguration Vulnerability -...
(OID: 1.3.6.1.4.1.25623.1.0.112898)
Version used: 2026-06-10T06:59:19Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2024-1411,DFN-CERT-2021-2394,DFN-CERT-2021-1273,WID-SEC-2024-1591,WID-SEC-2022-0438,CB-K21/0646",""
172.20.0.2,,80,tcp,8.2,High,30,"VendorFix","Apache HTTP Server 2.4.7 - 2.4.51 Multiple Vulnerabilities - Linux","Apache HTTP Server is prone to multiple vulnerabilities.","Installed version: 2.4.25
Fixed version:     2.4.52
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.117854,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,ab464e7c-1601-4d64-a6a3-bba200c6d754,"","Update to version 2.4.52 or later.","Apache HTTP Server version 2.4.7 through 2.4.51.","A crafted URI sent to httpd configured as a forward proxy
  (ProxyRequests on) can cause a crash (NULL pointer dereference) or, for configurations mixing
  forward and reverse proxy declarations, can allow for requests to be directed to a declared Unix
  Domain Socket endpoint (Server Side Request Forgery).","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server 2.4.7 - 2.4.51 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.117854)
Version used: 2021-12-23T12:12:57Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2026-2996,DFN-CERT-2022-2405,DFN-CERT-2022-2167,DFN-CERT-2022-1116,DFN-CERT-2022-1115,DFN-CERT-2022-1114,DFN-CERT-2022-1047,DFN-CERT-2022-0872,DFN-CERT-2022-0068,DFN-CERT-2021-2656,WID-SEC-2024-2180,WID-SEC-2024-1591,WID-SEC-2022-1057,WID-SEC-2022-0727,WID-SEC-2022-0432,WID-SEC-2022-0302,CB-K22/0619,CB-K21/1296",""
172.20.0.2,,80,tcp,5.8,Medium,30,"VendorFix","Apache HTTP Server 2.4.7 - 2.4.65 Authentication Bypass Vulnerability - Linux","Apache HTTP Server is prone to an authentication bypass
  vulnerability.","Installed version: 2.4.25
Fixed version:     2.4.66
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.125567,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,91dc6660-9db0-4bb4-aa34-e1942adf8ff7,"","Update to version 2.4.66 or later.","Apache HTTP Server version 2.4.7 through 2.4.65.","mod_userdir+suexec bypass via AllowOverride FileInfo
  vulnerability in Apache HTTP Server. Users with access to use the RequestHeader directive in
  htaccess can cause some CGI scripts to run under an unexpected userid.","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server 2.4.7 - 2.4.65 Authentication Bypass Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.125567)
Version used: 2025-12-05T05:44:55Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2026-2996,DFN-CERT-2026-2380,DFN-CERT-2026-2301,DFN-CERT-2026-1112,DFN-CERT-2026-1111,DFN-CERT-2026-1110,DFN-CERT-2026-0680,DFN-CERT-2025-3602,DFN-CERT-2025-3581,DFN-CERT-2025-3512,DFN-CERT-2025-3405,WID-SEC-2026-2189,WID-SEC-2026-1730,WID-SEC-2026-0853,WID-SEC-2026-0349,WID-SEC-2025-2750",""
172.20.0.2,,80,tcp,4.3,Medium,30,"VendorFix","Apache HTTP Server 2.4.x < 2.4.66 Improper Neutralization Vulnerability - Linux","Apache HTTP Server is prone to an improper neutralization
  vulnerability.","Installed version: 2.4.25
Fixed version:     2.4.66
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.125566,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,935377ca-808d-4b6c-bf10-33e0f998db95,"","Update to version 2.4.66 or later.","Apache HTTP Server version 2.4.x prior to 2.4.66.","Improper neutralization of escape, meta, or control sequences
  vulnerability in Apache HTTP Server through environment variables set via the Apache
  configuration unexpectedly superseding variables calculated by the server for CGI programs.","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server 2.4.x < 2.4.66 Improper Neutralization Vulnerability - Li...
(OID: 1.3.6.1.4.1.25623.1.0.125566)
Version used: 2025-12-05T05:44:55Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2026-2996,DFN-CERT-2026-2380,DFN-CERT-2026-2301,DFN-CERT-2026-1581,DFN-CERT-2026-1112,DFN-CERT-2026-1111,DFN-CERT-2026-1110,DFN-CERT-2026-0680,DFN-CERT-2026-0214,DFN-CERT-2025-3602,DFN-CERT-2025-3581,DFN-CERT-2025-3512,DFN-CERT-2025-3405,WID-SEC-2026-2189,WID-SEC-2026-1730,WID-SEC-2026-1203,WID-SEC-2026-0853,WID-SEC-2026-0349,WID-SEC-2026-0155,WID-SEC-2025-2750",""
172.20.0.2,,80,tcp,5.3,Medium,30,"VendorFix","Apache HTTP Server < 2.4.38 HTTP/2 DoS Vulnerability - Linux","By sending request bodies in a slow loris way to plain resources, the h2
  stream for that request unnecessarily occupied a server thread cleaning up that incoming data. This affects only
  HTTP/2 connections. A possible mitigation is to not enable the h2 protocol.","Installed version: 2.4.25
Fixed version:     2.4.38
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.141966,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,e87a8c6f-ec34-4a57-a92d-7265ddaf5ea1,"","Update to version 2.4.38 or later.","Apache HTTP Server version 2.4.37 and prior.","","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server < 2.4.38 HTTP/2 DoS Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.141966)
Version used: 2024-02-15T05:05:40Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2020-2422,DFN-CERT-2019-2592,DFN-CERT-2019-2456,DFN-CERT-2019-0781,DFN-CERT-2019-0687,DFN-CERT-2019-0529,DFN-CERT-2019-0184,CB-K20/0041,CB-K19/0316,CB-K19/0071",""
172.20.0.2,,80,tcp,7.5,High,30,"VendorFix","Apache HTTP Server < 2.4.38 mod_session_cookie Vulnerability - Linux","In Apache HTTP Server mod_session checks the session expiry time before
  decoding the session. This causes session expiry time to be ignored for mod_session_cookie sessions since the
  expiry time is loaded when the session is decoded.","Installed version: 2.4.25
Fixed version:     2.4.38
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.141964,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,003aac9e-df68-483b-a62a-22027ded4562,"","Update to version 2.4.38 or later.","Apache HTTP Server version 2.4.37 and prior.","","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server < 2.4.38 mod_session_cookie Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.141964)
Version used: 2024-02-15T05:05:40Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2021-1069,DFN-CERT-2020-0673,DFN-CERT-2019-2592,DFN-CERT-2019-2456,DFN-CERT-2019-0857,DFN-CERT-2019-0690,DFN-CERT-2019-0687,DFN-CERT-2019-0198,DFN-CERT-2019-0184,CB-K19/0316,CB-K19/0071",""
172.20.0.2,,80,tcp,7.5,High,30,"VendorFix","Apache HTTP Server < 2.4.39 mod_auth_digest Access Control Bypass Vulnerability - Linux","In Apache HTTP Server, a race condition in mod_auth_digest when running in a
  threaded server could allow a user with valid credentials to authenticate using another username, bypassing
  configured access control restrictions.","Installed version: 2.4.25
Fixed version:     2.4.39
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.142220,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,1de29880-3836-447e-a466-d74377770fd5,"","Update to version 2.4.39 or later.","Apache HTTP Server version 2.4.38 and prior.","","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server < 2.4.39 mod_auth_digest Access Control Bypass Vulnerabil...
(OID: 1.3.6.1.4.1.25623.1.0.142220)
Version used: 2024-02-15T05:05:40Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2019-2592,DFN-CERT-2019-2456,DFN-CERT-2019-0736,DFN-CERT-2019-0690,DFN-CERT-2019-0687,DFN-CERT-2019-0680,DFN-CERT-2019-0676,WID-SEC-2023-2047,CB-K19/0623,CB-K19/0267",""
172.20.0.2,,80,tcp,5.3,Medium,30,"VendorFix","Apache HTTP Server < 2.4.39 mod_http2 Use-After-Free Vulnerability - Linux","Using fuzzed network input, the http/2 request handling could be made to
  access freed memory in string comparison when determining the method of a request and thus process the request
  incorrectly.","Installed version: 2.4.25
Fixed version:     2.4.39
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.142226,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,ba532db9-5397-4bb3-9910-867d0e2bcaf7,"","Update to version 2.4.39 or later.","Apache HTTP Server version 2.4.38 and prior.","","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server < 2.4.39 mod_http2 Use-After-Free Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.142226)
Version used: 2024-02-15T05:05:40Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2020-2422,DFN-CERT-2020-1335,DFN-CERT-2019-2456,DFN-CERT-2019-1054,DFN-CERT-2019-0687,DFN-CERT-2019-0676,WID-SEC-2023-2047,CB-K19/0623,CB-K19/0267",""
172.20.0.2,,80,tcp,7.8,High,30,"VendorFix","Apache HTTP Server < 2.4.39 Privilege Escalation Vulnerability - Linux","In Apache HTTP Server, with MPM event, worker or prefork, code executing in
  less-privileged child processes or threads (including scripts executed by an in-process scripting interpreter)
  could execute arbitrary code with the privileges of the parent process (usually root) by manipulating the
  scoreboard. Non-Unix systems are not affected.","Installed version: 2.4.25
Fixed version:     2.4.39
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.142219,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,4e87ea4a-7170-4a55-87b2-c0a271406497,"","Update to version 2.4.39 or later.","Apache HTTP Server version 2.4.38 and prior.","","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server < 2.4.39 Privilege Escalation Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.142219)
Version used: 2024-07-26T05:05:35Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2020-1473,DFN-CERT-2019-1519,DFN-CERT-2019-1455,DFN-CERT-2019-1238,DFN-CERT-2019-1101,DFN-CERT-2019-0915,DFN-CERT-2019-0911,DFN-CERT-2019-0815,DFN-CERT-2019-0753,DFN-CERT-2019-0687,DFN-CERT-2019-0676,WID-SEC-2023-2047,CB-K19/0623,CB-K19/0615,CB-K19/0267",""
172.20.0.2,,80,tcp,5.3,Medium,30,"VendorFix","Apache HTTP Server < 2.4.39 URL Normalization Vulnerability - Linux","When the path component of a request URL contains multiple consecutive slashes
  ('/'), directives such as LocationMatch and RewriteRule must account for duplicates in regular expressions while
  other aspects of the servers processing will implicitly collapse them.","Installed version: 2.4.25
Fixed version:     2.4.39
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.142228,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,0a6145c5-9918-4828-b6bc-1067ffb767b1,"","Update to version 2.4.39 or later.","Apache HTTP Server version 2.4.38 and prior.","","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server < 2.4.39 URL Normalization Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.142228)
Version used: 2024-02-15T05:05:40Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2022-1610,DFN-CERT-2020-0184,DFN-CERT-2019-2592,DFN-CERT-2019-1519,DFN-CERT-2019-0815,DFN-CERT-2019-0690,DFN-CERT-2019-0687,DFN-CERT-2019-0680,DFN-CERT-2019-0676,WID-SEC-2023-2047,WID-SEC-2023-1969,WID-SEC-2023-1594,WID-SEC-2022-0757,CB-K20/0708,CB-K19/0623,CB-K19/0267",""
172.20.0.2,,80,tcp,7.5,High,30,"VendorFix","Apache HTTP Server < 2.4.58 mod_macro Out-of-bounds Read Vulnerability - Linux","Apache HTTP Server is prone to an out-of-bounds read
  vulnerability in mod_macro.","Installed version: 2.4.25
Fixed version:     2.4.58
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.100272,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,fd3fe58b-1349-4f95-bedd-e5c5d4a55879,"","Update to version 2.4.58 or later.","Apache HTTP Server version 2.4.57 and prior.","","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server < 2.4.58 'mod_macro' Out-of-bounds Read Vulnerability - L...
(OID: 1.3.6.1.4.1.25623.1.0.100272)
Version used: 2024-02-15T05:05:40Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2026-2996,DFN-CERT-2024-1411,DFN-CERT-2024-1010,DFN-CERT-2024-1000,DFN-CERT-2024-0732,DFN-CERT-2023-2640,DFN-CERT-2023-2583,WID-SEC-2024-1226,WID-SEC-2024-0899,WID-SEC-2024-0869,WID-SEC-2024-0769,WID-SEC-2024-0107,WID-SEC-2023-2917,WID-SEC-2023-2712",""
172.20.0.2,,80,tcp,7.5,High,30,"VendorFix","Apache HTTP Server < 2.4.59 Multiple Vulnerabilities - Linux","Apache HTTP Server is prone to multiple vulnerabilities.","Installed version: 2.4.25
Fixed version:     2.4.59
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.152039,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,ff647553-c51a-49e4-8504-b88aa77058da,"","Update to version 2.4.59 or later.","Apache HTTP Server version 2.4.58 and prior.","The following vulnerabilities exist:

  - CVE-2023-38709: HTTP response splitting

  - CVE-2024-24795: HTTP response splitting in multiple modules

  - CVE-2024-27316: HTTP/2 DoS by memory exhaustion on endless continuation frames","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server < 2.4.59 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.152039)
Version used: 2024-06-07T05:05:42Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2026-3742,DFN-CERT-2026-3594,DFN-CERT-2026-2996,DFN-CERT-2026-2301,DFN-CERT-2025-2802,DFN-CERT-2025-2658,DFN-CERT-2025-2657,DFN-CERT-2024-2900,DFN-CERT-2024-2534,DFN-CERT-2024-2076,DFN-CERT-2024-1958,DFN-CERT-2024-1853,DFN-CERT-2024-1749,DFN-CERT-2024-1697,DFN-CERT-2024-1411,DFN-CERT-2024-1335,DFN-CERT-2024-1238,DFN-CERT-2024-1031,DFN-CERT-2024-1010,DFN-CERT-2024-0964,DFN-CERT-2024-0901,DFN-CERT-2024-0890,WID-SEC-2025-1529,WID-SEC-2024-1725,WID-SEC-2024-1643,WID-SEC-2024-1642,WID-SEC-2024-1504,WID-SEC-2024-1248,WID-SEC-2024-1226,WID-SEC-2024-0801,WID-SEC-2024-0789",""
172.20.0.2,,80,tcp,5.0,Medium,30,"VendorFix","Apache HTTP Server < 2.4.64 Multiple Vulnerabilities - Linux","Apache HTTP Server is prone to multiple vulnerabilities.","Installed version: 2.4.25
Fixed version:     2.4.64
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.154909,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,bfd7e757-14f6-41a6-a4fb-d0f99f591177,"","Update to version 2.4.64 or later.","Apache HTTP Server version 2.4.63 and prior.","The following flaws exist:

  - CVE-2024-42516: HTTP response splitting

  - CVE-2024-43204: SSRF with mod_headers setting Content-Type header

  - CVE-2024-47252: mod_ssl error log variable escaping

  - CVE-2025-49812: mod_ssl TLS upgrade attack","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server < 2.4.64 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.154909)
Version used: 2025-07-11T15:43:14Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2026-3742,DFN-CERT-2026-3672,DFN-CERT-2026-3594,DFN-CERT-2026-3546,DFN-CERT-2026-3044,DFN-CERT-2026-2996,DFN-CERT-2026-2662,DFN-CERT-2026-2380,DFN-CERT-2026-2301,DFN-CERT-2026-0205,DFN-CERT-2025-2421,DFN-CERT-2025-2403,DFN-CERT-2025-2402,DFN-CERT-2025-2373,DFN-CERT-2025-2231,DFN-CERT-2025-2182,DFN-CERT-2025-1917,DFN-CERT-2025-1860,WID-SEC-2026-0162,WID-SEC-2025-1850,WID-SEC-2025-1529",""
172.20.0.2,,80,tcp,4.3,Medium,30,"VendorFix","Apache HTTP Server < 2.4.66 SSI Vulnerability - Linux","Apache HTTP Server is prone to a Server Side Includes (SSI)
  vulnerability.","Installed version: 2.4.25
Fixed version:     2.4.66
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.125564,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,98bb11f3-b130-4c3f-81bd-0dabb30f04cb,"","Update to version 2.4.66 or later.","Apache HTTP Server prior to version 2.4.66.","Apache HTTP Server with SSI enabled and mod_cgid (but not
  mod_cgi) passes the shell-escaped query string to #exec cmd='...' directives.","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server < 2.4.66 SSI Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.125564)
Version used: 2025-12-05T05:44:55Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2026-2996,DFN-CERT-2026-2380,DFN-CERT-2026-2301,DFN-CERT-2026-1581,DFN-CERT-2026-1112,DFN-CERT-2026-1111,DFN-CERT-2026-1110,DFN-CERT-2026-0680,DFN-CERT-2026-0027,DFN-CERT-2026-0012,DFN-CERT-2025-3602,DFN-CERT-2025-3581,DFN-CERT-2025-3512,DFN-CERT-2025-3405,WID-SEC-2026-2189,WID-SEC-2026-1730,WID-SEC-2026-1203,WID-SEC-2026-1194,WID-SEC-2026-0853,WID-SEC-2026-0349,WID-SEC-2026-0153,WID-SEC-2025-2750",""
172.20.0.2,,80,tcp,5.9,Medium,30,"VendorFix","Apache HTTP Server Denial of Service Vulnerability (Apr 2018) - Linux","Apache HTTP Server is prone to a denial of service vulnerability.","Installed version: 2.4.25
Fixed version:     2.4.30
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.812845,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,e2d6e6d2-26dc-4b07-a592-f1f283d2555f,"Successful exploitation will allow an attacker
  to destroy an HTTP/2 stream, resulting in a denial of service condition.","Update to version 2.4.30 or later. Please see the references for more information.","Apache HTTP Server versions 2.4.17, 2.4.18,
  2.4.20, 2.4.23 and from 2.4.25 to 2.4.29.","The flaw exists as the Apache HTTP Server
  writes a NULL pointer potentially to an already freed memory.","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server Denial of Service Vulnerability (Apr 2018) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.812845)
Version used: 2024-02-09T05:06:25Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2019-0359,DFN-CERT-2019-0351,DFN-CERT-2018-2011,DFN-CERT-2018-1386,DFN-CERT-2018-0985,DFN-CERT-2018-0570,CB-K18/0535",""
172.20.0.2,,80,tcp,7.5,High,30,"VendorFix","Apache HTTP Server Denial of Service Vulnerability-02 (Apr 2018) - Linux","Apache HTTP Server is prone to a denial of service vulnerability.","Installed version: 2.4.25
Fixed version:     2.4.30
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.812849,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,179ce296-b3a6-49ec-a4da-04ac9ecac110,"Successful exploitation will allow an attacker
  to crash the Apache HTTP Server resulting in denial of service condition.","Update to version 2.4.30 or later. Please see the references for more information.","Apache HTTP Server versions 2.4.6, 2.4.7,
  2.4.9, 2.4.10, 2.4.12, 2.4.16 through 2.4.18, 2.4.20, 2.4.23, and 2.4.25 through
  2.4.29.","The flaw exists as the Apache HTTP Server
  fails to sanitize against a specially crafted HTTP request header.","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server Denial of Service Vulnerability-02 (Apr 2018) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.812849)
Version used: 2024-02-09T05:06:25Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2020-2133,DFN-CERT-2019-0359,DFN-CERT-2019-0351,DFN-CERT-2018-2316,DFN-CERT-2018-0985,DFN-CERT-2018-0570,CB-K20/1030,CB-K18/0535",""
